Comment,Replies
OMG THIS SONG. I HEARD IT WHEN IT FIRST CAME OUTT...loved it sooo muchhh,
still crazy about this song!!!,
"There are no words, to paint a picture of you girl<br>Your eyes, those curves, it&#39;s like you&#39;re from some other world<br>You walk my way, oh God is so frustrating.<br>So why do I disappear when you come near,<br>It makes me feel so small,<br>Why do I blow my lines, most every time,<br>Like I got no chance at all,<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman, I hope you like me as I am, oh yeah,<br>It ain&#39;t no lie, I have to tell you how I feel,<br>Each time, I try it gets a little more unreal,<br>You walk my way, oh God is so frustrating.<br>So why do I disappear when you come near,<br>It makes me feel so small,<br>If I could read your mind,<br>Girl would I find, any trace of me at all.<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>Cause I&#39;m no superman, I hope you like me as I am<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.",
"There are no words, to paint a picture of you girl<br>Your eyes, those curves, it&#39;s like you&#39;re from some other world<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It makes me feel so small,<br>Why do I blow my lines, most every time,<br>Like I got no chance at all,<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman, I hope you like me as I am, oh yeah,<br><br>It ain&#39;t no lie, I have to tell you how I feel,<br>Each time, I try it gets a little more unreal,<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It makes me feel so small,<br>If I could read your mind,<br>Girl would I find, any trace of me at all.<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>Cause I&#39;m no superman, I hope you like me as I am<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.",
Still my fave. Walang kakupas kupas,
"Omg my high school memory, 10 years has gone.",
Love it xoxo,
"IT&#39;S BEEN AGES SINCE I LAST HEARD THIS SOOOOOOOOOOOONG, OMG &lt;3",
"There are no words, to paint a picture of you girl<br>Your eyes, those curves, it&#39;s like you&#39;re from some other world<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It makes me feel so small,<br>Why do I blow my lines, most every time,<br>Like I got no chance at all,<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman, I hope you like me as I am, oh yeah,<br><br>It ain&#39;t no lie, I have to tell you how I feel,<br>Each time, I try it gets a little more unreal,<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It makes me feel so small,<br>If I could read your mind,<br>Girl would I find, any trace of me at all.<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>Cause I&#39;m no superman, I hope you like me as I am<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.",
"There are no words, to paint a picture of you girl<br>Your eyes, those curves, it&#39;s like you&#39;re from some other world<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It makes me feel so small,<br>Why do I blow my lines, most every time,<br>Like I got no chance at all,<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman, I hope you like me as I am, oh yeah,<br><br>It ain&#39;t no lie, I have to tell you how I feel,<br>Each time, I try it gets a little more unreal,<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It makes me feel so small,<br>If I could read your mind,<br>Girl would I find, any trace of me at all.<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>Cause I&#39;m no superman, I hope you like me as I am<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.",
"There are no words, to paint a picture of you girl<br>Your eyes, those curves, it&#39;s like you&#39;re from some other world<br>You walk my way, oh God is so frustrating.<br>So why do I disappear when you come near,<br>It makes me feel so small,<br>Why do I blow my lines, most every time,<br>Like I got no chance at all,<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman, I hope you like me as I am, oh yeah,<br>It ain&#39;t no lie, I have to tell you how I feel,<br>Each time, I try it gets a little more unreal,<br>You walk my way, oh God is so frustrating.<br>So why do I disappear when you come near,<br>It makes me feel so small,<br>If I could read your mind,<br>Girl would I find, any trace of me at all.<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>Cause I&#39;m no superman, I hope you like me as I am<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.",
i dont know about you... but this is 2017 and i still listen to this song!,"pssst... its 2019 now :)
gefen malihi 2019* 💖💖
2019
18 now
it&#39;s 2018 still listening 💃
Well I found this song in 2018 so.... it&#39;s 2018 and I still listen to this song :P
This is 2010
same here
my favorite song"
i used to play this song on the guitar everydayyyyyyy,
"There are no words, to paint a picture of you girl<br>Your eyes, those curves, it&#39;s like you&#39;re from some other world<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It makes me feel so small,<br>Why do I blow my lines, most every time,<br>Like I got no chance at all,<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman, I hope you like me as I am, oh yeah,<br><br>It ain&#39;t no lie, I have to tell you how I feel,<br>Each time, I try it gets a little more unreal,<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It…",
"There are no words, to paint a picture of you girl<br>Your eyes, those curves, it&#39;s like you&#39;re from some other world<br>You walk my way, oh God is so frustrating.<br>So why do I disappear when you come near,<br>It makes me feel so small,<br>Why do I blow my lines, most every time,<br>Like I got no chance at all,<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman, I hope you like me as I am, oh yeah,",
Damn I can&#39;t believe it&#39;s been 9 years since he released this 😭,
Still Rocking this one @ 2022 &lt;3 !!,
this is my favourite song :D,
"I really love joe brooks, This video deserves a hundred million views",
I first heard this song on the radio when I was a kid,
bought my first guitar because of this song wayback in high school hahaha,
"Recuerdos de secundaria, cuando en 2012 ponía a Joe como novio de mis personajes en las historias que hacía. 🥺❤️",
"I hadn&#39;t heard of this b4 seeing Joe on a tv date show where he tells his date about writing, performing in this vid. Great song,",
Make way for the legend guys. I am watching this after 10 years.,
"There are no words, to paint a picture of you girl<br>Your eyes, those curves, it&#39;s like you&#39;re from some other world<br>You walk my way, oh God is so frustrating.<br>So why do I disappear when you come near,<br>It makes me feel so small,<br>Why do I blow my lines, most every time,<br>Like I got no chance at all,<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman, I hope you like me as I am, oh yeah,<br>It ain&#39;t no lie, I have to tell you how I feel,<br>Each time, I try it gets a little more unreal,<br>You walk my way, oh God is so frustrating.<br>So why do I disappear when you come near,<br>It makes me feel so small,<br>If I could read your mind,<br>Girl would I find, any trace of me at all.<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>Cause I&#39;m no superman, I hope you like me as I am<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.",
2020 and still here &lt;3 been listening to this song since I was in high school,
10 years from now I can still see myself watching this.,
I love your song 😍,
"One of my fav song on early 20&#39;s. Listening now feb 16, 2021. Hello there!",
"This is the cutest thing I&#39;ve ever seen, I&#39;m like fangirling so hard right now omg",
I really really like this song. It makes my nerve shakin 👌👍. Appreciate who i am not only my appearance and dont expect too much more if you just see my outside looking. 👍👍👍,
Hoy me acorde de esta canción despues de mucho tiempo,
Someone bring this gem back,
I still love this song so muchhhhh,
15 year old me was veryyy into this vibe. 25 year old me still gets it.,
"I don&#39;t care if it&#39;s 2018, but I really really wish I wrote this song..😭😭😭",I thought YouTube was giving songwriters credits now? Joe Brooks/Charlie Grant/Pete Woodroffe
"its 2021, and i can still remember how my crush used to sing this to me",
this was my jam &amp; im back after seeing him in the show (first dates?) he is such a sweetheart. i wished he had more publicity. i miss his music :(,
"Recommended vid by YT after 13 years, the song is still lovely",
listening to this instantly transports me to 2010,
Anybody still listening to their old cute love songs? Just me? Okay. 🥰,
he&#39;s underrated...... :(,Reec Mzn true
"There are no words, to paint a picture of you girl<br>Your eyes, those curves, it&#39;s like you&#39;re from some other world<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It makes me feel so small,<br>Why do I blow my lines, most every time,<br>Like I got no chance at all,<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman, I hope you like me as I am, oh yeah,<br><br>It ain&#39;t no lie, I have to tell you how I feel,<br>Each time, I try it gets a little more unreal,<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It makes me feel so small,<br>If I could read your mind,<br>Girl would I find, any trace of me at all.<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>Cause I&#39;m no superman, I hope you like me as I am<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.",
Loving this song since it came out😩 now i’m 15 and i’m still in love ... with the song and realising even how pretty the girl even is (somebody please say here name),
내가 이 노래 처음 들었을 때 고2인가 그랬는데 이 노래 들으면서 떠올리는 사람도 있었고 ㅋㅋㅋ 추억이네,
"March 23, 2020 still lovin this song😍",
still in love with this song,
I got the girl of my dreams because of this song,"awww..congrats
I Taste Gud same bro
REZ POTATO 7 im telling you man this is the best song ever right?
i got the girl of my dreams by kidnapping her
REZ POTATO 7 did you sing it or you just showed her the song
how do u get her<br>?
James Caingat Explode? (¬_¬)    Oh I See What You Mean&#39;t (Г~Г) I&#39;m Still A Virgin I Still Have Yet To Explode
That&#39;s amazing! I hardly hear of people singing to the one they want😊😊 congrats
unreal. congrats anyway
REZ POTATO 7 congrats man
REZ POTATO 7 wow.. congrats man
Lucky
REZ POTATO 7 AYYY Great Job
Wow! Good job bro
REZ POTATO 7
Nice, man!
That made me smile. Yay you :)"
I can&#39;t believe it&#39;s already 10 years ago !!! I missed the old times :(,
still the best!,
Oh the nostalgia this song brings lol,
Still love this &lt;3,
"I&#39;m here not because of YouTube recommended, I&#39;m here because I miss my high school days and I&#39;m here for joe ❤",
If you are here without the recommendation of youtube then you have good taste of music,
This song appeals to the hopeless romantic in me.  Emphasis on hopeless lol. &lt;3 love it! :D,
I love this songggggg,
"i still remember the first time this song surfaced to my ears.<br><br><br>i borrowed her phone, selected a random and voila! my heart raced, just like the first time we met. college. <br><br><br>too bad i didnt confess, this song is kinda old. but not my feelings for her. Its strong.",
"I found this on my old MySpace playlist, so glad I found it again 😍",
Such a talented person. I always remember my EX who passed away last 2019. He loves you and SUPERMAN! Salute to you man ❤,
I feel like 2020 is the year everyone is digging up all the songs from 10 - whatever years ago to when music was better( in my opinion),Your not wrong
I listen this song 10 years algo ❤️,
2018 and still in love,
This brings me back when my brothers friends confess to my sister using this song,
I play this song to my girlfriend every night to remind her how beautiful she is and how im not perfect but i will do anything for her,
"I know this song!!! I quite remembered the lyrics, tone and rhythm. Wow YT recommendations is really amazing for the time being... <b>Super happy about this</b>",
"&quot;Superman&quot;<br><br>Ho la da da da<br><br>There are no words,<br>To paint a picture of you, girl.<br>Your eyes and those curves,<br>It&#39;s like you&#39;re from some other world.<br>You walk my way,<br>Oh, God, it&#39;s so frustrating.<br>So why do I disappear<br>When you come near?<br>It makes me feel so small.<br>Why do I blow my lines<br>Most every time<br>Like I&#39;ve got no chance at all?<br><br>If I could be your superman,<br>I&#39;d fly you to the stars,<br>And back again.<br>&#39;Cause every time you touch my hand,<br>And you feel my powers, running through your veins.<br>But I can only write this song,<br>And tell you, That I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.<br><br>No it ain&#39;t no lie,<br>I have to tell you how I feel.<br>But each time that I try,<br>It gets a little more unreal.<br>You say my name,<br>Oh, God, I can&#39;t stop shaking.<br>So why do I disappear<br>When you come near?<br>It makes me feel so small.<br>If I could read your mind,<br>Girl, would I find<br>Any trace of me at all?<br><br>If I could be your superman,<br>I&#39;d fly you to the stars,<br>And back again.<br>&#39;Cause every time you touch my hand,<br>You feel my powers, running through your veins.<br>Well I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I-I am, La la<br><br>If I could be your superman,<br>I&#39;d fly you to the stars,<br>And back again.<br>&#39;Cause every time you touch my hand,<br>You feel my powers, running through your veins.<br>Well I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman-an-an,<br>I hope you like me as I am.","Great work!
thanks for lyric"
Can&#39;t believe I&#39;m listening to this in 2018. Never going to get tired of this song. 💕,it&#39;s so sick that one hour gets tired
This man is still my PERFECT aesthetic lol,
This is a nice song! A good find,
So this is the first time I&#39;ve ever heard of this song<br><br><br><br>I like it,
I can’t believe I ever forgot about this song.,
am I the only guy who is just addicted to this song???,"I&#39;m getting addicted... cuz i&#39;m Related
No, you&#39;re not. Me too! :)
Nah, not even. This is up next on my list of songs to learn on guitar and cajon
ladalala
+Ray Williams Im here yoww
+Ray Williams  i feel you dude :)
+Ray Williams  im addicted also in this song...
+Ray Williams you are not Alone man
The Sona Player Wow wow mate come down
+Ray Williams No shut up... its not possible that youre the only guy out of 147k people .-.
+Ray Williams Im here mate
+Ray Williams I&#39;m here with you my friend!
+Ray Williams nahhhh
+Ray Williams nahhhh
+Ray Williams nope, I am here!!
+Chance Kirk lol okay
+Kymonie Westbrook no need to apologize lol
+Chance Kirk lol sorry
+Kymonie Westbrook I think he meant guy as in not a girl.
No I am
yes"
Yeah still feel this since i heard this for the first time,
"I remember listen to this music 9 years ago and dreaming about my dream girl... Now, I&#39;m marrying her. Never give up!!!",
where is this guy? I need more music from him.,
I&#39;m here for nostalgia. High school days 🖤,
think I&#39;ve heard this song before thanks for recommending YouTube to listen to this beautiful song suits the rainy day!,
"Holy crap, he looks so good for a 23- year old! He looks 18!","He&#39;s 31 lol
Mupp1t jk bro
James Li that&#39;s weird but funny lol
Mupp1t im 12 but i look 3 lol
I&#39;m 30 years old and I look 18 :P
Vivian Stuckel ikr"
my favourite song ever..,
nossa ouvia essa musica qdo tive minha primeira namorada kkkkk,
2021 and still listening to this!,
2019 but still kickin,
i like this song very relaxing for me.,
I clicked thinking it&#39;s cover song of Daughtry&#39;s Superman.. but <br>Glad I Found this masterpiece,
I first discovered this song from wattpad. I don&#39;t remember the title tho. But this song is so nostalgic!,
"damn i cant believe its almost 10 years, wow, brings back memories,",
2020 this song was lovely thats why im here ♥️,
Fav song❤️,
The memories of me and my classmates wayback high school just came back and i miss them,
"I have no clue who Luke Hemmings or Louis Tomlinson are, but I remember discovering him on MySpace back in 2006, when I was in high school. He is extremely talented and love his new music.","Loni Hoots luke hemmings ... 5 seconds of summer give any hint
Louis Tomlinson ... One Direction give any hint"
I&#39;m still Love this music,
highschool days hits me different  yes i will be a superman me as a 7th grader! now am collage :) love this song,
When you forgot about this song 😭 my child heart ❤️,
i luv it &lt;3,
2023 still one of my fav song🎉,
For anyone wondering why Luke Hemmings keeps getting mentioned... He&#39;s a band member from &quot;5 Seconds of Summer&quot; and in an interview (Radio KissKiss in Italy I think) the guy asked each band member what song they&#39;d sing to the perfect girl or something like that and Luke said &quot;Superman by Joe Brooks&quot;,
I&#39;ll never understand why he didnt severely blow up,
still in love with this...,
omg the nostalgia 😭😭😭,
been years and im still inlove,
"There are no words,<br>To paint a picture of you, girl.<br>Your eyes and those curves,<br>It&#39;s like you&#39;re from some other world.<br>You walk my way,<br>Oh, God, it&#39;s so frustrating.<br>So why do I disappear<br>When you come near?<br>It makes me feel so small.<br>Why do I blow my lines<br>Most every time<br>Like I&#39;ve got no chance at all?<br><br>If I could be your superman,<br>I&#39;d fly you to the stars,<br>And back again.<br>&#39;Cause every time you touch my hand,<br>And you feel my powers, running through your veins.<br>But I can only write this song,<br>And tell you, That I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.<br><br>No it ain&#39;t no lie,<br>I have to tell you how I feel.<br>But each time that I try,<br>It gets a little more unreal.<br>You say my name,<br>Oh, God, I can&#39;t stop shaking.<br>So why do I disappear<br>When you come near?<br>It makes me feel so small.<br>If I could read your mind,<br>Girl, would I find<br>Any trace of me at all?<br><br>If I could be your superman,<br>I&#39;d fly you to the stars,<br>And back again.<br>&#39;Cause every time you touch my hand,<br>You feel my powers, running through your veins.<br>Well I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I-I am, La la<br><br>If I could be your superman,<br>I&#39;d fly you to the stars,<br>And back again.<br>&#39;Cause every time you touch my hand,<br>You feel my powers, running through your veins.<br>Well I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman-an-an,<br>I hope you like me as I am.",
this is what i sang to a girl who i am now dating. thank you joe brooks,"+Frexy Ocay thanks I appreciate that :)
+Armondo Gallardo your girl is lucky"
"Mi historia está aquí, la nuestra &lt;3",
when I was in 9th grade and every time I feel like I&#39;m in love... I play this song in my head LOL now YouTube&#39;s recommendation broke my heart 😂 gosh. I missed this.,
still slaps,
I remember my 6th grade crush recommended this to me lmao never gets old,
"June 2020, and still like this song",
"PLEASE, CONTINUE MAKING MUSIC!","Agréé to :D
YASS!
Agree :D"
This song makes me HAPPY 😃,
"Playing this song way back 2008 or 2009 while playing DOTA.I cry,time flies.",
Some guy literally gave this to me when I was in 8th grade. Lol its 11 years after I don&#39;t know where he is and I&#39;m married and happy with someone else. But this is a great song,
"Holy shit, this song is good and this guy sounds great, if you look at him though he looks like Clark Kent a bit, which is the man side of superman and he claims not to be perfect, but he wants to be known for who he is as a person not his powers but the good man that he is and that&#39;s what I&#39;m picking up from this song that he isn&#39;t super but he can be a good man",
Old but gold,
I always had a thing for guys who wear glasses.<br>and he surely struck my heart 😂💞,"+ThatOneScarecrow Hahaha, I don&#39;t really care. But preferably, the semi rimless ones. Idk why though 😂😂😂
Eoforhild Forneux do you like semi-rimless or rimmed glasses better?
Ikr"
i still dream of going to his concert........,
Still bops in 2018,
It almost end of the year 2022 but i still remember this song.,
NOSTALGIA~ ✨🖤,
It almost end of the year 2022 but i still remember this song.,
it sucks how many talanted people make one or two songs then disappeared.,
WTF???? IT&#39;S BEEN 10 YEARS!!!!!!!!!!!! AND I STILL LOVE YOU!!!!!!,
I FINALLY FOUND IT!💙,
2020 still lit &lt;3,
Proof that I was in the better side of youtube back then ❤️,
Still my favorite... <br>Aug. 2020,
underrated.,
it&#39;s 2023 and i&#39;m still listening this song everyday,aysus
IT TOOK ME SO LONG TO RE-FIND THIS SONG OMFG,
2021 anyone? :&#39;) this song is still poetic and lit as always!,
"Whoever is reading this, keep your head up. It will get better ❤️‍🩹",
"The song, the vibe, the aesthetic, it’s giving 2010 tumblr era",
everyones like &#39;OMG LUKE HEMMINGS!&#39;<br><br>is there anyone like me who genuinely likes this guy&#39;s music?,"Harleen Quinnzel; mm
Erika Fantage i saw him and i was like &quot;oh this guys cute but why do i feel like i&#39;ll love his music&quot; im so right. im inlove with him now
I do I love this music
Erika Fantage me
i love this song
Who is luke hemmings though?
Erika Fantage who is luke hemmings? XD
Erika Fantage Loving him since 2010~
I love his music since 2011
Me too, I know him since day one. 
ugh..im afraid fake fans are gonna come ahhhh..and thank you though for telling me.
DieFluffyPie Yea apparently Luke said he would sing this song to his gf and thts one of the only reasons many people listen to this... 
wait what is up with luke hemmings??am i missing something??
You are not alone, i love his music since 2011 omg xD
yeah I just found him and was like hey I like this guy so I didn&#39;t even know luke Hemmings had anything to do with this
Yeah! I loved Joe Brooks before 5SOS was a band, I think. My favorite song is Six String Soldier, but this is the first song I had by Joe Brooks :P"
But it is a really nice song ♥,
This got recommendet to me after years<br>still a bop,
"Sir, why dont u just put this song on spotify? i really need to listening this song easyly :&#39;)","@asvj2006 yap. this song ain&#39;t on spotify. I tried to looking for this song many times, but still.
What this isn&#39;t in spotify😡😢😩"
2023 i still love this song..,
Same feeeels after all these years ❤❤❤,
Why is no one talking about how insanely adorable he looks?,"peachy_keen <br>What I am DUH WHO WOULDNT THINK SO! He&#39;s so cuteeeee
lpsrocks278  EXACTLY, but if you pause at <a href=""http://youtu.be/otx0Bnru0dY?t=3m13s"">3:13</a> he looks kind of weird and scary
ugh he is
I was waiting for someone else to say it"
I don&#39;t know why but it got recommended to me and omg listening to this song brings back lots of memories,
its 2017 now and still i need you my SUPERMAN😍❤,
One of my fav since 2013. ❤️ August 2020 anyone?,
"Socorro, sou muito doida por essa música",porque está elogiando uma música tão ruim? com um clipe ruim?
Palagi ko &#39;tong kinakanta sa isipp huhu. Pero di ko matandaan title 😂 basta alam ko lang may &quot;superman&quot; &quot;nasa rooftop&quot; &quot;superman costume&quot; huhu. Miss ko naaa tooo.,
The music video starts like your body is a wonderland,"Lmao he looks like the typical guy in those movies where hes the team leader of the high school football squad and some nerdy avg chick likes him and at the end of the movie they share a kiss together lmao.
+Justin Matthew You stupid? LOL no one copied
Lol no, your body is a wonderland came out in 2001, joe brooks released this back in 2010. So John did it first lmfao
same year. lol who copied.
yes absolutey"
So much memories 🧸,
"Ugh 2021, still listening to this song😥❤️",
Our all time fave song (bf and I) so nostalgic 🥰,
So Beautiful... So Underrated,
I almost forgot about this song. Discovered this through Tumblr around a decade ago. Came up of my recommended now after watching 2 videos of blink-182! How I miss those times.,
"This song brings back memories from back when I first started to listen to music haha &lt;3  Was 11 at the time(2011) and then after listening to only Justin Bieber I found this music and I was like other music exists huh xD<br><br>Edit: 2022 now and I don&#39;t remember commenting this at all. It is enjoyable finding my thoughts from years ago randomly, I would not have remembered only listening to Justin Bieber as an eleven year old, if it wasn&#39;t for this comment haha","John Gab Tolentino How am I being emotional?
+Prezzie :D Really Dont Get Too Emotional Into Comments Please
+Prezzie :D I&#39;ve made a cover of this. could you check it out? It would really mean a lot! ^^
FVNT0M IIX I listend, as in, in the past. Looking back, I do not think his music was bad, only it is not really for me anymore.
+Prezzie :D You&#39;ve missed A LOT of good music if you only listen to Justin Bieber... don&#39;t wanna break ur heart, but his songs and most songs played on the radio suck... If you want real good music, you have to dig for it
Same!"
어릴 때 생각이 많이 나는 노래,
You have such a good voice,
👏🏻👏🏻👏🏻👏🏻😍,
I remember when this came out I was 14 I&#39;m now 23 I used to sing this so much to my ex,Ahaha
Awesome💜💜💜💜💙💙💙💙,
why do I love this song in 2016 that is my q I listen to it all day,
I love superman!,
2018 and im back at it again!! ♡♡,
"Who needs superman, if you have such a kind, innocent nerd?😍😍",
Hey keep doing what your doing!  I am working towards the dream as well.  Really love your posts btw!,
missing someone with this song. 2013 feels,
"Makes me think of Lois and Clark 😆☺️ <a href=""http://www.youtube.com/results?search_query=%23Smallvilleforever"">#Smallvilleforever</a>",
I wish there were songs like this these days. Sad.,
"I remember meeting this guy in high school where he came to perform and he completely ignored the guy who had gotten him there for the event and he said &quot;I need a hot girl to introduce me, not you, no offense&quot; and he went to find a girl in the cafeteria... Mind you... he was like 25... guess that&#39;s why he&#39;s a one hit wonder...",
idk why this popped back up in my recommended but omg the nostalgia...,
I haven&#39;t heard this song is so long and just thought of it out of nowhere and omg it&#39;s taking me BACKKKK,
High school memories coming in 5... 4... 3... 2... 1!,
"Anyone remembers that you could add songs to your MySpace page back in the day?^^ Well, this was mine for a while...first time hearing it since those old MySpace days ;) Happy New Year everyone!",
Ahhh the Nostalgia!!,
I&#39;m still listening to this song. ❤️,
i thought of this song today in my head.  Now youtube made it easier by recommending,
